horse_id,name,sex,birth_year,birth_date,color,breeder,owner,total_earnings,total_starts,total_wins,profile_scraped
アドマイヤコジーン,アドマイヤコジーン,牡,,,,,,,,,0
ディヴァインライト,ディヴァインライト,牡,,,,,,,,,0
ダービーレグノ,ダービーレグノ,牡,,,,,,,,,0
イーグルカフェ,イーグルカフェ,牡,,,,,,,,,0
トラストファイヤー,トラストファイヤー,牡,,,,,,,,,0
スティンガー,スティンガー,牝,,,,,,,,,0
ビッグゴールド,ビッグゴールド,牡,,,,,,,,,0
ゴッドオブチャンス,ゴッドオブチャンス,牡,,,,,,,,,0
タイキブライドル,タイキブライドル,牡,,,,,,,,,0
トッププロテクター,トッププロテクター,牡,,,,,,,,,0
ザカリヤ,ザカリヤ,牡,,,,,,,,,0
ニッポーアトラス,ニッポーアトラス,牡,,,,,,,,,0
ビハインドザマスク,ビハインドザマスク,牝,,,,,,,,,0
ダイヤモンドビコー,ダイヤモンドビコー,牝,,,,,,,,,0
フサイチユーキャン,フサイチユーキャン,牝,,,,,,,,,0
エアトゥーレ,エアトゥーレ,牝,,,,,,,,,0
タイキポーラ,タイキポーラ,牝,,,,,,,,,0
ジェミードレス,ジェミードレス,牝,,,,,,,,,0
タイキトゥインクル,タイキトゥインクル,牝,,,,,,,,,0
ピンクプルメリア,ピンクプルメリア,牝,,,,,,,,,0
フューチャサンデー,フューチャサンデー,牝,,,,,,,,,0
ネームヴァリュー,ネームヴァリュー,牝,,,,,,,,,0
エイシンルーデンス,エイシンルーデンス,牝,,,,,,,,,0
クルーピアスター,クルーピアスター,牝,,,,,,,,,0
チアズシュタルク,チアズシュタルク,牡,,,,,,,,,0
サンヴァレー,サンヴァレー,牡,,,,,,,,,0
セイコーアカデミー,セイコーアカデミー,牡,,,,,,,,,0
サスガ,サスガ,牡,,,,,,,,,0
リバートレジャー,リバートレジャー,牡,,,,,,,,,0
ココモキング,ココモキング,牡,,,,,,,,,0
チョウカイフライト,チョウカイフライト,牡,,,,,,,,,0
サントニービン,サントニービン,牡,,,,,,,,,0
ストロングブラッド,ストロングブラッド,牡,,,,,,,,,0
0000619603,アイアムツヨシ,牡,,,,,,0.0,0.0,0.0,1
ワイルドユース,ワイルドユース,牡,,,,,,,,,0
ライブインザムーン,ライブインザムーン,牡,,,,,,,,,0
ロイヤルマイル,ロイヤルマイル,牡,,,,,,,,,0
ナリタキセキボーイ,ナリタキセキボーイ,牡,,,,,,,,,0
ゲイリーフラッシュ,ゲイリーフラッシュ,牡,,,,,,,,,0
サイキョウサンデー,サイキョウサンデー,牡,,,,,,,,,0
0000320781,アイティースワロー,せん,,,,,,0.0,0.0,0.0,1
ナムラマイカ,ナムラマイカ,牝,,,,,,,,,0
タイキダイヤ,タイキダイヤ,牝,,,,,,,,,0
トロットスター,トロットスター,牡,,,,,,,,,0
ノボリユキオー,ノボリユキオー,牡,,,,,,,,,0
ジョンカラノテガミ,ジョンカラノテガミ,牡,,,,,,,,,0
リキアイタイカン,リキアイタイカン,牡,,,,,,,,,0
キタサンチャンネル,キタサンチャンネル,牡,,,,,,,,,0
フサイチオーレ,フサイチオーレ,牡,,,,,,,,,0
ロッキーアピール,ロッキーアピール,牡,,,,,,,,,0
スニーカー,スニーカー,牝,,,,,,,,,0
ケイワンバイキング,ケイワンバイキング,せん,,,,,,,,,0
フレンチパッション,フレンチパッション,牝,,,,,,,,,0
ラムジェットシチー,ラムジェットシチー,牡,,,,,,,,,0
タマモヒビキ,タマモヒビキ,牡,,,,,,,,,0
ウインシュナイト,ウインシュナイト,牡,,,,,,,,,0
ダイタクバートラム,ダイタクバートラム,牡,,,,,,,,,0
アンクルスーパー,アンクルスーパー,牡,,,,,,,,,0
バンブーマリアッチ,バンブーマリアッチ,牡,,,,,,,,,0
オースミブライト,オースミブライト,牡,,,,,,,,,0
ミヤギロドリゴ,ミヤギロドリゴ,牡,,,,,,,,,0
ウインマーベラス,ウインマーベラス,牡,,,,,,,,,0
アグネスストーム,アグネスストーム,牡,,,,,,,,,0
プレミアムバラード,プレミアムバラード,牡,,,,,,,,,0
トーホウドリーム,トーホウドリーム,牡,,,,,,,,,0
マイネルタンゴ,マイネルタンゴ,牡,,,,,,,,,0
コンタクト,コンタクト,牡,,,,,,,,,0
ジョービッグバン,ジョービッグバン,牡,,,,,,,,,0
クラフトマンシップ,クラフトマンシップ,牡,,,,,,,,,0
マイネルライツ,マイネルライツ,牡,,,,,,,,,0
キングザファクト,キングザファクト,牡,,,,,,,,,0
フサイチランハート,フサイチランハート,牡,,,,,,,,,0
トシザブイ,トシザブイ,牡,,,,,,,,,0
セイコーサンデー,セイコーサンデー,牡,,,,,,,,,0
アドマイヤロード,アドマイヤロード,牡,,,,,,,,,0
ケイエムチェーサー,ケイエムチェーサー,牡,,,,,,,,,0
ゴールドレジェンド,ゴールドレジェンド,せん,,,,,,,,,0
タガノビジョン,タガノビジョン,牡,,,,,,,,,0
ロードブレーブ,ロードブレーブ,牡,,,,,,,,,0
メジロロンザン,メジロロンザン,牡,,,,,,,,,0
