horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
0000701724,アイポッパー,0000179021,サツカーボーイ,0000286926,サンデーアイ,0000333664,デイクタス(FR),0000333862,サンデーサイレンス(USA)
0000742986,アイルラヴァゲイン,0000299155,エルコンドルパサー(USA),0000287775,トキオリアリティー(USA),0000347989,Kingmambo(USA),0000337483,Meadowlake(USA)
0000704212,アサクサデンエン,0000263172,Singspiel(IRE),0000439039,ホワイトウォーターアフェア(GB),0000341850,In The Wings(GB),0000337496,Machiavellian(USA)
0000713851,アドマイヤグルーヴ,0000333862,サンデーサイレンス(USA),0000274849,エアグルーヴ,0000335154,Halo(USA),0000161740,トニービン(IRE)
0000737164,アドマイヤジャパン,0000333862,サンデーサイレンス(USA),0000275176,ビワハイジ,0000335154,Halo(USA),0000336202,Caerleon(USA)
0000620083,アドマイヤマックス,0000333862,サンデーサイレンス(USA),0000145823,ダイナシユート,0000335154,Halo(USA),0000333544,ノーザンテースト(CAN)
0000872979,アルカセット,0000347989,Kingmambo(USA),0000406129,チェサプラナ(GB),0000335975,Mr. Prospector(USA),0000336870,Niniski(USA)
0000742988,インティライミ,0000293624,スペシャルウィーク,0000190937,アンデスレディー,0000333862,サンデーサイレンス(USA),0000333544,ノーザンテースト(CAN)
0000750289,エアメサイア,0000333862,サンデーサイレンス(USA),0000298392,エアデジャヴー,0000335154,Halo(USA),0000333544,ノーザンテースト(CAN)
0000700535,オースミハルカ,0000274915,フサイチコンコルド,0000272696,ホッコーオウカ,0000336202,Caerleon(USA),0000214492,リンドシェーバー(USA)
0000742946,カネヒキリ,0000262443,フジキセキ,0000448626,ライフアウトゼア(USA),0000333862,サンデーサイレンス(USA),0000338072,Deputy Minister(CAN)
0000320405,カラジ,0000214308,レオダーバン,0000166074,シノブスパーク,0000069360,マルゼンスキー,0000333695,ホツトスパーク(IRE)
0000704196,キーンランドスワン,0000361724,Distant View(USA),0000397475,To Act(USA),0000335975,Mr. Prospector(USA),0000335167,Roberto(USA)
0000424694,サイレントウィットネス,0000343054,Yukon(USA),0000424692,Next Witness,0000334002,Northern Dancer(CAN),0000334204,Delta Judge(USA)
0000742581,シックスセンス,0000333862,サンデーサイレンス(USA),0000444136,デインスカヤ(GB),0000335154,Halo(USA),0000337424,デインヒル(USA)
0000769476,シーキングザダイヤ,0000337102,Storm Cat(USA),0000287603,シーキングザパール(USA),0000336177,Storm Bird(CAN),0000337444,Seeking the Gold(USA)
0000853095,シークレットコード,0000621167,Fusaichi Pegasus(USA),0000451641,マジックコード(USA),0000335975,Mr. Prospector(USA),0000343203,Lost Code(USA)
0000743110,シーザリオ,0000293624,スペシャルウィーク,0000383821,キロフプリミエール(GB),0000333862,サンデーサイレンス(USA),0000336572,Sadler's Wells(USA)
0000853099,ジャリスコライト,0000369753,ファンタスティックライト(USA),0000397887,Chancey Squaw(USA),0000337553,Rahy(USA),0000337339,Chief's Crown(USA)
0000726199,スイープトウショウ,0000361855,エンドスウィープ(USA),0000266567,タバサトウショウ,0000337550,フォーティナイナー(USA),0000336853,ダンシングブレーヴ(USA)
0000725727,スズカマンボ,0000333862,サンデーサイレンス(USA),0000299391,スプリングマンボ(GB),0000335154,Halo(USA),0000347989,Kingmambo(USA)
0000626072,スターキングマン,0000347989,Kingmambo(USA),0000407087,Princesse Timide(USA),0000335975,Mr. Prospector(USA),0000335274,Blushing Groom(FR)
0000759900,スーパーホーネット,0000339534,ロドリゴデトリアーノ(USA),0000313354,ユウサンポリッシュ,0000336924,El Gran Senor(USA),0000340931,エルセニョール(USA)
0000701668,ゼンノロブロイ,0000333862,サンデーサイレンス(USA),0000432408,ローミンレイチェル(USA),0000335154,Halo(USA),0000337380,マイニング(USA)
0000725485,ダイワメジャー,0000333862,サンデーサイレンス(USA),0000213918,スカーレットブーケ,0000335154,Halo(USA),0000333544,ノーザンテースト(CAN)
0000726398,ダンスインザムード,0000333862,サンデーサイレンス(USA),0000383247,ダンシングキイ(USA),0000335154,Halo(USA),0000333996,Nijinsky(CAN)
0000614653,チアズシャイニング,0000333894,コマンダーインチーフ(GB),0000181724,グリーンスミレ,0000336853,ダンシングブレーヴ(USA),0000333599,ノーザリー(USA)
0000732901,テイエムドラゴン,0000309184,アドマイヤベガ,0000222495,ヤエシラオキ,0000333862,サンデーサイレンス(USA),0000069360,マルゼンスキー
0000759682,テイエムプリキュア,0000225913,パラダイスクリーク(USA),0000309424,フェリアード,0000336421,Irish River(FR),0000337448,ステートリードン(USA)
0000750310,デアリングハート,0000333862,サンデーサイレンス(USA),0000396592,デアリングダンジグ(USA),0000335154,Halo(USA),0000336082,Danzig(USA)
0000743031,ディアデラノビア,0000333862,サンデーサイレンス(USA),0000634722,ポトリザリス(ARG),0000335154,Halo(USA),0000361301,Potrillazo(ARG)
0000742976,ディープインパクト,0000333862,サンデーサイレンス(USA),0000430846,ウインドインハーヘア(IRE),0000335154,Halo(USA),0000339659,Alzao(USA)
0000619835,デュランダル,0000333862,サンデーサイレンス(USA),0000190874,サワヤカプリンセス,0000335154,Halo(USA),0000333544,ノーザンテースト(CAN)
0000742908,ニシノナースコール,0000333844,ブライアンズタイム(USA),0000274938,ノーブルドノール,0000335167,Roberto(USA),0000333544,ノーザンテースト(CAN)
0000210163,ハットトリック,0000098151,ナンキンリユウエン,0000097878,フラワーハツト,0000333544,ノーザンテースト(CAN),0000333400,ハイハツト(GB)
0000722158,ハーツクライ,0000333862,サンデーサイレンス(USA),0000233121,アイリッシュダンス,0000335154,Halo(USA),0000161740,トニービン(IRE)
0000329164,ビッグゴールド,0000333844,ブライアンズタイム(USA),0000383793,ビューティフルゴールド(USA),0000335167,Roberto(USA),0000335975,Mr. Prospector(USA)
0000762056,フサイチパンドラ,0000333862,サンデーサイレンス(USA),0000384041,ロッタレース(USA),0000335154,Halo(USA),0000336085,Nureyev(USA)
0000759656,フサイチリシャール,0000615577,クロフネ(USA),0000309206,フサイチエアデール,0000362799,フレンチデピュティ(USA),0000333862,サンデーサイレンス(USA)
0000619800,プレシャスカフェ,0000250238,ハートレイク(GB),0000298461,エアインセンス,0000336085,Nureyev(USA),0000333862,サンデーサイレンス(USA)
0000706207,ヘヴンリーロマンス,0000333862,サンデーサイレンス(USA),0000383613,ファーストアクト(IRE),0000335154,Halo(USA),0000336572,Sadler's Wells(USA)
0000727032,メイショウボーラー,0000287925,タイキシャトル(USA),0000384189,ナイスレイズ(USA),0000337092,Devil's Bag(USA),0000337102,Storm Cat(USA)
0000729899,メジロベイシンガー,0000201489,メジロライアン,0000169300,メジロストーク,0000098122,アンバーシヤダイ,0000333665,モガミ(FR)
0000735646,メルシーエイタイム,0000365159,チーフベアハート(CAN),0000223511,マチカネカルメン,0000337339,Chief's Crown(USA),0000333792,スリルシヨー(USA)
0000743113,ラインクラフト,0000361855,エンドスウィープ(USA),0000274856,マストビーラヴド,0000337550,フォーティナイナー(USA),0000333862,サンデーサイレンス(USA)
0000009045,リンカーン,0000003449,ホシヒカリ,0000002882,ハチヨシ,0000333115,サラ　ライジングフレーム(IRE),0000333166,サラ　崇優
0000742989,ローゼンクロイツ,0000333862,サンデーサイレンス(USA),0000274980,ロゼカラー,0000335154,Halo(USA),0000335305,Shirley Heights(GB)
0000706169,ローレルロイス,0000262275,ジェニュイン,0000309077,ルナースフィア,0000333862,サンデーサイレンス(USA),0000333874,ジェイドロバリー(USA)
0000327963,アイスフォーリス,0000214562,スターオブコジーン(USA),0000254337,マジックタッチ,0000337423,Cozzene(USA),0000182479,キャロルハウス(IRE)
0001109443,アイムユアーズ,0000626942,ファルブラヴ(IRE),0000755955,セシルブルース,0000337427,Fairy King(USA),0000299155,エルコンドルパサー(USA)
0001218817,アウィルアウェイ,0001106251,ジャスタウェイ,0001042633,ウィルパワー,0000722158,ハーツクライ,0000729458,キングカメハメハ
0001122413,アウォーディー,0000325200,ジャングルポケット,0000706207,ヘヴンリーロマンス,0000161740,トニービン(IRE),0000333862,サンデーサイレンス(USA)
0001192790,アエロリット,0000615577,クロフネ(USA),0001120903,アステリックス,0000362799,フレンチデピュティ(USA),0000701577,ネオユニヴァース
0000754953,アグネスアーク,0000324933,アグネスタキオン,0000247092,ベルセゾン,0000333862,サンデーサイレンス(USA),0000333809,ベリフア(IRE)
0000626086,アグネスソニック,0000361396,Unbridled's Song(USA),0000395454,Shelia Dacre(USA),0000340629,Unbridled(USA),0000336085,Nureyev(USA)
0000321138,アグネスデジタル,0000336770,Crafty Prospector(USA),0000397887,Chancey Squaw(USA),0000335975,Mr. Prospector(USA),0000337339,Chief's Crown(USA)
0000733991,アグネスハット,0000274883,ダンスインザダーク,0000384275,ノコナ(FR),0000333862,サンデーサイレンス(USA),0000337427,Fairy King(USA)
0001043796,アグネスワルツ,0000701668,ゼンノロブロイ,0000309035,メルロースウィート,0000333862,サンデーサイレンス(USA),0000333887,ヘクタープロテクター(USA)
0000804024,アサクサキングス,0000237704,ホワイトマズル(GB),0000308952,クルーピアスター,0000336853,ダンシングブレーヴ(USA),0000333862,サンデーサイレンス(USA)
0000027810,アサヒライジング,0000006957,ライジングマサル,0000008183,ツルホマレ,0000333115,ライジングフレーム(IRE),0000003053,ゴールドアロー
0001177896,アジアエクスプレス,0001028940,ヘニーヒューズ(USA),0001069254,ランニングボブキャッツ(USA),0000362819,ヘネシー(USA),0000369565,Running Stag(USA)
0001139940,アスカノロマン,0000321138,アグネスデジタル(USA),0000762632,アスカノヒミコ,0000336770,Crafty Prospector(USA),0000361351,タバスコキャット(USA)
0000801522,アストンマーチャン,0000308300,アドマイヤコジーン,0000275434,ラスリングカプス(USA),0000337423,Cozzene(USA),0000337445,Woodman(USA)
0000723210,アズマサンダース,0000333862,サンデーサイレンス(USA),0000234049,オースミシャイン,0000335154,Halo(USA),0000140567,シンボリルドルフ
0001171117,アットザシーサイド,0000729458,キングカメハメハ,0000799898,ルミナスハーバー,0000347989,Kingmambo(USA),0000324933,アグネスタキオン
0000270788,アップトゥデイト,0000333796,リフアーズスペシヤル(USA),0000149473,ハーバーリーガル,0000334968,Lyphard(USA),0000333376,インターメゾ(GB)
0000801496,アドマイヤオーラ,0000324933,アグネスタキオン,0000275176,ビワハイジ,0000333862,サンデーサイレンス(USA),0000336202,Caerleon(USA)
0000756830,アドマイヤキッス,0000333862,サンデーサイレンス(USA),0000274974,キッスパシオン,0000335154,Halo(USA),0000333874,ジェイドロバリー(USA)
0000308300,アドマイヤコジーン,0000337423,Cozzene(USA),0000244682,アドマイヤマカディ,0000334731,Caro(IRE),0000333544,ノーザンテースト(CAN)
0001214658,アドマイヤジャスタ,0001106251,ジャスタウェイ,0000701777,アドマイヤテレサ,0000722158,ハーツクライ,0000365099,エリシオ(FR)
0000758596,アドマイヤジュピタ,0000362799,フレンチデピュティ(USA),0000298278,ジェイズジュエリー,0000338072,Deputy Minister(CAN),0000333707,リアルシヤダイ(USA)
0000756919,アドマイヤスバル,0000316565,アドマイヤボス,0000275675,アドマイヤエール(IRE),0000333862,サンデーサイレンス(USA),0000340528,ジェネラス(IRE)
0000620131,アドマイヤドン,0000333901,ティンバーカントリー(USA),0000232957,ベガ,0000337445,Woodman(USA),0000161740,トニービン(IRE)
0001221956,アドマイヤマーズ,0000725485,ダイワメジャー,0001209459,ヴィアメディチ(IRE),0000333862,サンデーサイレンス(USA),0000621128,Medicean(GB)
0001190477,アドマイヤミヤビ,0000722158,ハーツクライ,0001047829,レディスキッパー,0000333862,サンデーサイレンス(USA),0000615577,クロフネ(USA)
0000760877,アドマイヤムーン,0000361855,エンドスウィープ(USA),0000325165,マイケイティーズ,0000337550,フォーティナイナー(USA),0000333862,サンデーサイレンス(USA)
0000757705,アドマイヤメイン,0000333862,サンデーサイレンス(USA),0000286866,プロモーション,0000335154,Halo(USA),0000333887,ヘクタープロテクター(USA)
0000725711,アドマイヤモナーク,0000365957,ドリームウェル(FR),0000298305,スプリットザナイト,0000336572,Sadler's Wells(USA),0000161740,トニービン(IRE)
0001174899,アドマイヤリード,0000286968,ステイゴールド,0001098942,ベルアリュールⅡ(IRE),0000333862,サンデーサイレンス(USA),0000361929,Numerous(USA)
