horse_id,name,sex,birth_year,birth_date,color,breeder,owner,total_earnings,total_starts,total_wins,profile_scraped
クラフトワーク,クラフトワーク,Male,,,,,,,,,0
マイネヌーヴェル,マイネヌーヴェル,Female,,,,,,,,,0
キーボランチ,キーボランチ,Male,,,,,,,,,0
0000634849,エイシンチャンプ,Male,,,,,,0.0,0.0,0.0,1
0000323729,アサカディフィート,せん,,,,,,0.0,0.0,0.0,1
トレジャー,トレジャー,Male,,,,,,,,,0
0000082050,エルカミーノ,Male,,,,,,0.0,0.0,0.0,1
0000612385,アルスブランカ,Male,,,,,,0.0,0.0,0.0,1
メジロマントル,メジロマントル,Male,,,,,,,,,0
シャーディーナイス,シャーディーナイス,Male,,,,,,,,,0
0000318033,ウインブレイズ,Male,,,,,,0.0,0.0,0.0,1
0000326291,カナハラドラゴン,Male,,,,,,0.0,0.0,0.0,1
ソウゴン,ソウゴン,Male,,,,,,,,,0
ストロングブラッド,ストロングブラッド,Male,,,,,,,,,0
ビッグウルフ,ビッグウルフ,Male,,,,,,,,,0
ハットトリック,ハットトリック,Male,,,,,,,,,0
0000028130,アルビレオ,Male,,,,,,0.0,0.0,0.0,1
0000723210,アズマサンダース,Female,,,,,,0.0,0.0,0.0,1
キネティクス,キネティクス,Male,,,,,,,,,0
メイショウオスカル,メイショウオスカル,Female,,,,,,,,,0
マルカキセキ,マルカキセキ,Male,,,,,,,,,0
タカラシャーディー,タカラシャーディー,Male,,,,,,,,,0
0000329719,イシノミューズ,Female,,,,,,0.0,0.0,0.0,1
ダイワエルシエーロ,ダイワエルシエーロ,Female,,,,,,,,,0
ナイトフライヤー,ナイトフライヤー,Male,,,,,,,,,0
ナイストップボーイ,ナイストップボーイ,Male,,,,,,,,,0
0000612667,オースミコスモ,Female,,,,,,0.0,0.0,0.0,1
シゲルドントイケ,シゲルドントイケ,Male,,,,,,,,,0
0000330256,イケハヤブサ,Male,,,,,,0.0,0.0,0.0,1
ナムラスピリット,ナムラスピリット,Male,,,,,,,,,0
ゲイリーファントム,ゲイリーファントム,Male,,,,,,,,,0
メイショウボーラー,メイショウボーラー,Male,,,,,,,,,0
0000315658,エンゲルグレーセ,Male,,,,,,0.0,0.0,0.0,1
サミーミラクル,サミーミラクル,Male,,,,,,,,,0
ヒカリジルコニア,ヒカリジルコニア,Male,,,,,,,,,0
プリンセスアスカ,プリンセスアスカ,Female,,,,,,,,,0
0000242409,アグネスウイング,Male,,,,,,0.0,0.0,0.0,1
0000714290,アタゴタイショウ,Male,,,,,,0.0,0.0,0.0,1
デュアルストーリー,デュアルストーリー,Female,,,,,,,,,0
サイモンセッズ,サイモンセッズ,Male,,,,,,,,,0
シャドウスケイプ,シャドウスケイプ,Male,,,,,,,,,0
クリスタルヴィオレ,クリスタルヴィオレ,Female,,,,,,,,,0
タイセイブレーヴ,タイセイブレーヴ,Male,,,,,,,,,0
ナムラビッグタイム,ナムラビッグタイム,Male,,,,,,,,,0
ファントムマスク,ファントムマスク,Male,,,,,,,,,0
ブイヤマト,ブイヤマト,Male,,,,,,,,,0
マルターズヒート,マルターズヒート,Female,,,,,,,,,0
ペールギュント,ペールギュント,Male,,,,,,,,,0
マイネルハーティー,マイネルハーティー,Male,,,,,,,,,0
マルカジーク,マルカジーク,Male,,,,,,,,,0
ディープサマー,ディープサマー,Male,,,,,,,,,0
ライラプス,ライラプス,Female,,,,,,,,,0
タガノデンジャラス,タガノデンジャラス,Male,,,,,,,,,0
0000732984,イヤダイヤダ,Male,,,,,,0.0,0.0,0.0,1
ヒカルバローロ,ヒカルバローロ,Male,,,,,,,,,0
ビッグタイガー,ビッグタイガー,Male,,,,,,,,,0
シルクネクサス,シルクネクサス,Male,,,,,,,,,0
0000738110,エレスサール,Male,,,,,,0.0,0.0,0.0,1
ドリームゲッター,ドリームゲッター,Male,,,,,,,,,0
デポジットブック,デポジットブック,Male,,,,,,,,,0
0000737164,アドマイヤジャパン,Male,,,,,,0.0,0.0,0.0,1
シックスセンス,シックスセンス,Male,,,,,,,,,0
コスモオースティン,コスモオースティン,Male,,,,,,,,,0
0000738866,イブキレボルシオン,Male,,,,,,0.0,0.0,0.0,1
ジョウノビクトリア,ジョウノビクトリア,Female,,,,,,,,,0
カネサマンゲツ,カネサマンゲツ,Male,,,,,,,,,0
モエレアドミラル,モエレアドミラル,Male,,,,,,,,,0
0000736633,ウインクルセイド,Male,,,,,,0.0,0.0,0.0,1
0000738970,ウォーターダッシュ,Male,,,,,,0.0,0.0,0.0,1
ニシノアレックス,ニシノアレックス,Male,,,,,,,,,0
ニューヨークカフェ,ニューヨークカフェ,Male,,,,,,,,,0
