horse_id,horse_name,sire_id,sire_name,dam_id,dam_name,grandsire_id,grandsire_name,dam_sire_id,dam_sire_name
02-07,02-07,,,,,,,,
02-11,02-11,,,,,,,,
0000467314,10,0000466893,Alaa El Din,0000467311,Mona,0000466887,Nazeer,0000466889,Badr
0000467320,12,0000466901,Gassir,0000467319,Inas,0000466900,Kheir,0000466894,Morafic
0000467329,13,0000466904,Anter,0000467328,Nazeera,0000466946,Hamdan,0000466887,Nazeer
0000467315,14,0000466895,Tuhotmos(Usa),0000467313,Azza I,0000466888,El Sareei,0000466891,Sameh
0000467331,15,0000466897,Ghalion,0000467329,13 Bint Nazeera,0000466894,Morafic,0000466904,Anter
6,6,,,,,,,,
7,7,,,,,,,,
8,8,,,,,,,,
9,9,,,,,,,,
0000730343,Aiaisakura,0000263174,Pentaia(Gb),0000166002,Raurerushiidaa,0000335936,Be My Guest(Usa),0000077016,Sakurashiyouri
0000612735,Aiadobenchaa,0000130523,Misutaashiibii,0000221750,Geitoueihitto,0000061253,Toushiyoubooi,0000333722,Rashianruuburu(Usa)
0000230111,Aiamuakutoresu,0000166681,Tamamokurosu,0000100779,Beriigurando,0000082169,Shiibiikurosu,0000333359,Vuenchia(Gb)
0000756890,Aiamuenjieru,0000365330,Bosutonhaabaa(Usa),0000275577,Aiamuzauinaa(Usa),0000336568,Capote(Usa),0000337425,Danzig Connection(Usa)
0000989334,Aiamukaminomago,0000324933,Agunesutakion,0000275577,Aiamuzauinaa(Usa),0000333862,Sandeesairensu(Usa),0000337425,Danzig Connection(Usa)
0000619603,Aiamutsuyoshi,0000262437,Tayasutsuyoshi,0000275577,Aiamuzauinaa(Usa),0000333862,Sandeesairensu(Usa),0000337425,Danzig Connection(Usa)
0000993893,Aiamuneo,0000701577,Neoyunivaasu,0000384278,Ikusupekutotoushain(Usa),0000333862,Sandeesairensu(Usa),0000335975,Mr. Prospector(Usa)
0000994286,Aiamupikaichi,0000729458,Kingukamehameha,0000448807,Shienku(Gb),0000347989,Kingmambo(Usa),0000347622,Zafonic(Usa)
0000995383,Aiamumaririn,0000324971,Manhattankafe,0000634651,Hishishirubaameido(Usa),0000333862,Sandeesairensu(Usa),0000347814,Silver Deputy(Can)
0000208468,Aiankuroo,0000333766,Roodozakiyanonzu(Usa),0000127423,Hironodairin,0000336130,Cannonade(Usa),0000333605,Shiyanpenchiyaarii(Usa)
0001184512,Aianteeraa,0000619768,Goorudoaryuuru,0000325102,Ootamuburiizu,0000333862,Sandeesairensu(Usa),0000333901,Teinbaakantorii(Usa)
0000989862,Aiandeyuuku,0000375505,Suueputooovaaboodo(Usa),0000286881,Tenpesutokeesu,0000361855,Endosuuiipu(Usa),0000333862,Sandeesairensu(Usa)
0000316536,Aianriaritei,0000333862,Sandeesairensu(Usa),0000383289,Debiruzuburaido(Usa),0000335154,Halo(Usa),0000334731,Caro(Ire)
0000991309,Aianrukku,0000316565,Adomaiyabosu,0000309147,Rukadansu,0000333862,Sandeesairensu(Usa),0000333887,Hekutaapurotekutaa(Usa)
0001149044,Aioshiruken,0000774786,Vuriru(Aus),0000292302,Memoriijueru,0000333862,Sandeesairensu(Usa),0000347636,Aamijaa(Gb)
0000708203,Aishiisuzuka,0000333862,Sandeesairensu(Usa),0000263075,Aishingusuzuka(Usa),0000335154,Halo(Usa),0000341551,Dayjur(Usa)
0000238960,Aisudooru,0000333695,Sara Hotsutosupaaku(Ire),0000464795,Misuchiradeito,0000334285,Habitat(Usa),0000466760,Ara Goorudenfuyuuchiyafuaia(Usa)
0001207712,Aisufiyorudo,0000321282,Kurisutowainingu(Usa),0001107185,Ratoonuinpakuto,0000359332,Towainingu(Usa),0000742976,Diipuinpakuto
0000327963,Aisufoorisu,0000214562,Sutaaobukojiin(Usa),0000254337,Majikkutatchi,0000337423,Cozzene(Usa),0000182479,Kyaroruhausu(Ire)
0000988523,Aizuobuzoro,0000700008,Shinborikurisuesu(Usa),0000258043,Misuteikkuaizu,0000336209,Kris S.(Usa),0000337552,Eastern Echo(Usa)
0000000563,Aidaho,0000333158,Daioraito(Gb),0000000096,Dainikanadeangaaru,0000334791,Diophon(Gb),0000332990,Tourunusoru(Gb)
0001089072,Aiteigoorudo,0000286968,Suteigoorudo,0000294725,Toukyuuabii,0000333862,Sandeesairensu(Usa),0000333894,Komandaainchiifu(Gb)
0001093922,Aiteiteioo,0000743734,Muunbaraddo(Ire),0000705734,Roorerudefii,0000263172,Singspiel(Ire),0000362599,Ramutara(Usa)
0000885696,Aiteitoppu,0000255813,Mayanotoppugan,0000294725,Toukyuuabii,0000333844,Buraianzutaimu(Usa),0000333894,Komandaainchiifu(Gb)
0000320781,Aiteiisuwaroo,0000333873,Maakuobudisuteinkushon(Gb),0000217635,Suifutokuin,0000335911,Known Fact(Usa),0000333677,Suifutosuwaroo(Usa)
0000240854,Ainogureesu,0000333785,Kaahowaito(Ire),0000180703,Ainopurinsesu,0000334731,Caro(Ire),0000069360,Maruzensukii
0000613150,Ainoburiizu,0000340630,Burakkutaiafeaa(Ire),0000237605,Soyokaze(Usa),0000336395,Miswaki(Usa),0000336769,Topsider(Usa)
0001094329,Aifaasongu,0000760831,Songuobuuindo,0000722290,Aifaapegasasu,0000299155,Erukondorupasaa(Usa),0000337848,Dehia(Usa)
0000888086,Aifaahakuoo,0000275436,Batorurain(Usa),0000323682,Aifaayuki,0000337527,Ojijian(Usa),0000358543,Kaanegii(Ire)
0000722138,Aifaafukuoo,0000192967,Kakoiishiizu(Usa),0000315764,Aifaarumi,0000336305,Alydar(Usa),0000340413,Shanhai(Usa)
0001167051,Aifaapuritei,0000801496,Adomaiyaoora,0000317503,Yamanoravurii,0000324933,Agunesutakion,0000340413,Shanhai(Usa)
0001047963,Aifaamaachisu,0000621944,Marienbaado(Ire),0000702675,Burijjiheddo,0000336202,Caerleon(Usa),0000333769,Paakuriijiento(Can)
0000701724,Aipoppaa,0000179021,Satsukaabooi,0000286926,Sandeeai,0000333664,Deikutasu(Fr),0000333862,Sandeesairensu(Usa)
0001090426,Aimuhiaa,0000372825,Purisaisuendo(Usa),0000316845,Ikeikemonchitchi,0000361855,Endosuuiipu(Usa),0000337424,Deinhiru(Usa)
0001109443,Aimuyuaazu,0000626942,Faruburavu(Ire),0000755955,Seshiruburuusu,0000337427,Fairy King(Usa),0000299155,Erukondorupasaa(Usa)
0001149825,Airain,0000805347,Roorerugereiro,0000317332,Roorerushain,0000294840,Kinguheiroo,0000333894,Komandaainchiifu(Gb)
0001108047,Airaburiri,0000369639,Sutoravinsukii(Usa),0000728517,Chiikiigaaruzu,0000336085,Nureyev(Usa),0000359332,Towainingu(Usa)
0000302921,Airandoooja,0000161740,Toniibin(Ire),0000144163,Airandobiinasu,0000336378,Kanpara(Gb),0000333635,Riifuoo(Gb)
0000852618,Airandofasshon,0000362890,Petionville(Usa),0000852619,Danzigs Fashion(Usa),0000337444,Seeking The Gold(Usa),0000849832,A Native Danzig(Usa)
0000891170,Airisumorea,0000325977,Shounankanpu,0000701191,Yuaadikuto,0000225628,Sakurabakushin'Oo,0000340653,Hausubasutaa(Usa)
0001089097,Airutonbaroozu,0000324933,Agunesutakion,0000295365,Purima,0000333862,Sandeesairensu(Usa),0000161740,Toniibin(Ire)
0000708823,Airubiibakku,0000179021,Satsukaabooi,0000199902,Buratsudosupensaa,0000333664,Deikutasu(Fr),0000333582,Koindoshirubaa(Usa)
0000742986,Airuravagein,0000299155,Erukondorupasaa(Usa),0000287775,Tokioriariteii(Usa),0000347989,Kingmambo(Usa),0000337483,Meadowlake(Usa)
0000988704,Airenberuku,0000314130,Goorudoheiroo,0000262211,Toppuairen,0000333862,Sandeesairensu(Usa),0000161740,Toniibin(Ire)
0000730517,Ain'Oosen,0000337436,Rasutotaikuun(Ire),0000187020,Riarudoriimu,0000336129,Toraimaibesuto(Usa),0000333707,Riarushiyadai(Usa)
0000613386,Ainkuraimaa,0000333886,Sukyan(Usa),0000246188,Haroouesuto,0000335975,Mr. Prospector(Usa),0000333665,Mogami(Fr)
0000801459,Ainfasutaa,0000337421,Afuriito(Can),0000274880,Supurasshukuin,0000335975,Mr. Prospector(Usa),0000161740,Toniibin(Ire)
0000891980,Ainrakusu,0000274883,Dansuinzadaaku,0000808411,Sutaazuinhaaaizu(Ire),0000333862,Sandeesairensu(Usa),0000337445,Woodman(Usa)
0001194171,Aivanhou,0000769391,Soldier Hollow(Gb),0001194169,Indigo Girl(Ger),0000341850,In The Wings(Gb),0000361135,Sternkonig(Ire)
0001095571,Aiviiriigu,0000701712,Rinkaan,0000737205,Kyaratto,0000333862,Sandeesairensu(Usa),0000362799,Furenchidepyutei(Usa)
0001218817,Auiruauei,0001106251,Jasutauei,0001042633,Uirupawaa,0000722158,Haatsukurai,0000729458,Kingukamehameha
0001174414,Aueiku,0000742976,Diipuinpakuto,0001051964,Ooruzaueibeibii(Usa),0000333862,Sandeesairensu(Usa),0000369314,Grand Slam(Usa)
0001122413,Auoodii,0000325200,Jangurupoketto,0000706207,Hevunriiromansu,0000161740,Toniibin(Ire),0000333862,Sandeesairensu(Usa)
0000736868,Autoobusaito,0000333862,Sandeesairensu(Usa),0000248772,Shisutaasono,0000335154,Halo(Usa),0000333848,Nasurueruarabu(Usa)
0001126615,Autoobushadou,0000722158,Haatsukurai,0000899516,Runbarokka(Ire),0000333862,Sandeesairensu(Usa),0000361698,Sri Pekan(Usa)
0000888273,Autokuratooru,0000225628,Sakurabakushin'Oo,0000325073,Tsuariinu,0000145106,Sakurayutakaoo,0000201489,Mejiroraian
