horse_id,horse_name,ancestor_id,ancestor_name,generation,line
0000242409,アグネスウイング,0000333830,アウザール(USA),1,S
0000242409,アグネスウイング,0000336154,Shergar(GB),2,SS
0000242409,アグネスウイング,0000390842,Galletto(USA),3,SSS
0000242409,アグネスウイング,0000334667,Great Nephew(GB),4,SSSS
0000242409,アグネスウイング,0000390840,Sharmeen(FR),5,SSSSS
0000242409,アグネスウイング,0000333996,Nijinsky(CAN),5,SSSSD
0000242409,アグネスウイング,0000390841,Gaia(GB),4,SSSD
0000242409,アグネスウイング,0000334300,Honeyway(GB),5,SSSDS
0000242409,アグネスウイング,0000388855,Sybil's Niece(GB),5,SSSDD
0000242409,アグネスウイング,0000333921,Val de Loir(FR),3,SSD
0000242409,アグネスウイング,0000390839,Nasreen(IRE),4,SSDS
0000242409,アグネスウイング,0000334002,Northern Dancer(CAN),5,SSDSS
0000242409,アグネスウイング,0000387574,Flaming Page(CAN),5,SSDSD
0000242409,アグネスウイング,0000333967,Charlottesville(GB),4,SSDD
0000242409,アグネスウイング,0000384321,Ghana(GB),5,SSDDS
0000242409,アグネスウイング,0000334876,Fairway(GB),5,SSDDD
0000242409,アグネスウイング,0000386497,Honey Buzzard(GB),2,SD
0000242409,アグネスウイング,0000335384,Admiral's Walk(GB),3,SDS
0000242409,アグネスウイング,0000388856,Sybil's Sister(GB),4,SDSS
0000242409,アグネスウイング,0000338897,Vieux Manoir(FR),5,SDSSS
0000242409,アグネスウイング,0000389014,Vali(FR),5,SDSSD
0000242409,アグネスウイング,0000333967,Charlottesville(GB),4,SDSD
0000242409,アグネスウイング,0000390838,Ginetta(GB),5,SDSDS
0000242409,アグネスウイング,0000334378,Nearctic(CAN),5,SDSDD
0000242409,アグネスウイング,0000386225,Natalma(USA),3,SDD
0000242409,アグネスウイング,0000335434,Bull Page(USA),4,SDDS
0000242409,アグネスウイング,0000387578,Flaring Top(USA),5,SDDSS
0000242409,アグネスウイング,0000334433,Prince Chevalier(FR),5,SDDSD
0000242409,アグネスウイング,0000388304,Noorani(GB),4,SDDD
0000242409,アグネスウイング,0000334144,Botticelli(ITY),5,SDDDS
0000242409,アグネスウイング,0000384857,Grolldochnicht(GER),5,SDDDD
0000242409,アグネスウイング,0000124921,アグネスチーフ,1,D
0000242409,アグネスウイング,0000333535,トライバルチーフ(GB),2,DS
0000242409,アグネスウイング,0000018901,イコマエイカン,3,DSS
0000242409,アグネスウイング,0000334436,Princely Gift(GB),4,DSSS
0000242409,アグネスウイング,0000386379,Mwanza(GB),5,DSSSS
0000242409,アグネスウイング,0000334477,Sallymount(GB),5,DSSSD
0000242409,アグネスウイング,0000378597,ヘザーランズ(GB),4,DSSD
0000242409,アグネスウイング,0000334374,Nasrullah(GB),5,DSSDS
0000242409,アグネスウイング,0000387056,Blue Gem(GB),5,DSSDD
0000242409,アグネスウイング,0000334416,Petition(GB),3,DSD
0000242409,アグネスウイング,0000387963,Lake Tanganyika(GB),4,DSDS
0000242409,アグネスウイング,0000333989,Tudor Minstrel(GB),5,DSDSS
0000242409,アグネスウイング,0000389900,Queen of Shiraz(GB),5,DSDSD
0000242409,アグネスウイング,0000334527,Tenerani(ITY),4,DSDD
0000242409,アグネスウイング,0000384642,Dark Brocade(GB),5,DSDDS
0000242409,アグネスウイング,0000334377,Nearco(ITY),5,DSDDD
0000242409,アグネスウイング,0000388233,Mumtaz Begum(FR),2,DD
0000242409,アグネスウイング,0000347464,Blue Peter(GB),3,DDS
0000242409,アグネスウイング,0000388758,Sparkle(GB),4,DDSS
0000242409,アグネスウイング,0000334245,Fair Trial(GB),5,DDSSS
0000242409,アグネスウイング,0000386913,Art Paper(GB),5,DDSSD
0000242409,アグネスウイング,0000335737,Ujiji(GB),4,DDSD
0000242409,アグネスウイング,0000387057,Blue Girl(GB),5,DDSDS
0000242409,アグネスウイング,0000334403,Owen Tudor(GB),5,DDSDD
0000242409,アグネスウイング,0000388630,Sansonnet(GB),3,DDD
0000242409,アグネスウイング,0000334842,Bahram(GB),4,DDDS
0000242409,アグネスウイング,0000401526,Qurrat-al-Ain(GB),5,DDDSS
0000242409,アグネスウイング,0000334947,Bellini(GB),5,DDDSD
0000242409,アグネスウイング,0000388930,Tofanella(GB),4,DDDD
0000242409,アグネスウイング,0000337246,Le Ksar(FR),5,DDDDS
0000242409,アグネスウイング,0000394065,Light Brocade(GB),5,DDDDD
0000323729,アサカディフィート,0000225913,パラダイスクリーク(USA),1,S
0000323729,アサカディフィート,0000336421,Irish River(FR),2,SS
0000323729,アサカディフィート,0000419753,North of Eden(IRE),3,SSS
0000323729,アサカディフィート,0000335664,Riverman(USA),4,SSSS
0000323729,アサカディフィート,0000391678,Irish Star(FR),5,SSSSS
0000323729,アサカディフィート,0000334003,Northfields(USA),5,SSSSD
0000323729,アサカディフィート,0000383754,ツリーオブノレッジ(IRE),4,SSSD
0000323729,アサカディフィート,0000334001,Never Bend(USA),5,SSSDS
0000323729,アサカディフィート,0000388565,River Lady(USA),5,SSSDD
0000323729,アサカディフィート,0000334323,Klairon(FR),3,SSD
0000323729,アサカディフィート,0000391677,Botany Bay(FR),4,SSDS
0000323729,アサカディフィート,0000334002,Northern Dancer(CAN),5,SSDSS
0000323729,アサカディフィート,0000386241,Little Hut(USA),5,SSDSD
0000323729,アサカディフィート,0000333959,Sassafras(FR),4,SSDD
0000323729,アサカディフィート,0000390860,Sensibility(USA),5,SSDDS
0000323729,アサカディフィート,0000334374,Nasrullah(GB),5,SSDDD
0000323729,アサカディフィート,0000387965,Lalun(USA),2,SD
0000323729,アサカディフィート,0000334435,Prince John(USA),3,SDS
0000323729,アサカディフィート,0000385176,Nile Lily(USA),4,SDSS
0000323729,アサカディフィート,0000334967,Clarion(FR),5,SDSSS
0000323729,アサカディフィート,0000387885,Kalmia(FR),5,SDSSD
0000323729,アサカディフィート,0000336420,East Side(GB),4,SDSD
0000323729,アサカディフィート,0000387036,Black Brook(FR),5,SDSDS
0000323729,アサカディフィート,0000334378,Nearctic(CAN),5,SDSDD
0000323729,アサカディフィート,0000386225,Natalma(USA),3,SDD
0000323729,アサカディフィート,0000335611,Occupy(USA),4,SDDS
0000323729,アサカディフィート,0000386446,Savage Beauty(USA),5,SDDSS
0000323729,アサカディフィート,0000333965,Sheshoon(GB),5,SDDSD
0000323729,アサカディフィート,0000386275,Ruta(FR),4,SDDD
0000323729,アサカディフィート,0000334286,Hail to Reason(USA),5,SDDDS
0000323729,アサカディフィート,0000388364,Pange(GB),5,SDDDD
0000323729,アサカディフィート,0000383352,スプリームクィーン(USA),1,D
0000323729,アサカディフィート,0000336305,Alydar(USA),2,DS
0000323729,アサカディフィート,0000394489,Knightly Belle(USA),3,DSS
0000323729,アサカディフィート,0000334066,Raise a Native(USA),4,DSSS
0000323729,アサカディフィート,0000388847,Sweet Tooth(USA),5,DSSSS
0000323729,アサカディフィート,0000336483,Knightly Manner(USA),5,DSSSD
0000323729,アサカディフィート,0000394488,Belle Poule(USA),4,DSSD
0000323729,アサカディフィート,0000334375,Native Dancer(USA),5,DSSDS
0000323729,アサカディフィート,0000388521,Raise You(USA),5,DSSDD
0000323729,アサカディフィート,0000334398,On-and-On(USA),3,DSD
0000323729,アサカディフィート,0000388441,Plum Cake(USA),4,DSDS
0000323729,アサカディフィート,0000345057,Round Table(USA),5,DSDSS
0000323729,アサカディフィート,0000389206,Courtesy(USA),5,DSDSD
0000323729,アサカディフィート,0000334113,Barbizon(USA),4,DSDD
0000323729,アサカディフィート,0000387212,Chinchon(USA),5,DSDDS
0000323729,アサカディフィート,0000334853,Polynesian(USA),5,DSDDD
0000323729,アサカディフィート,0000387667,Geisha(USA),2,DD
0000323729,アサカディフィート,0000335441,Case Ace(USA),3,DDS
0000323729,アサカディフィート,0000387933,Lady Glory(USA),4,DDSS
0000323729,アサカディフィート,0000334374,Nasrullah(GB),5,DDSSS
0000323729,アサカディフィート,0000388990,Two Lea(USA),5,DDSSD
0000323729,アサカディフィート,0000335642,Ponder(USA),4,DDSD
0000323729,アサカディフィート,0000388528,Real Delight(USA),5,DDSDS
0000323729,アサカディフィート,0000339120,Princequillo(IRE),5,DDSDD
0000323729,アサカディフィート,0000401513,Knights Daughter(GB),3,DDD
0000323729,アサカディフィート,0000334374,Nasrullah(GB),4,DDDS
0000323729,アサカディフィート,0000387777,Highway Code(GB),5,DDDSS
0000323729,アサカディフィート,0000334853,Polynesian(USA),5,DDDSD
0000323729,アサカディフィート,0000387707,Good Blood(USA),4,DDDD
0000323729,アサカディフィート,0000334993,Goya(FR),5,DDDDS
0000323729,アサカディフィート,0000388213,Monsoon(USA),5,DDDDD
0000723210,アズマサンダース,0000333862,サンデーサイレンス(USA),1,S
0000723210,アズマサンダース,0000335154,Halo(USA),2,SS
0000723210,アズマサンダース,0000393162,Wishing Well(USA),3,SSS
0000723210,アズマサンダース,0000334286,Hail to Reason(USA),4,SSSS
0000723210,アズマサンダース,0000387273,Cosmah(USA),5,SSSSS
0000723210,アズマサンダース,0000336892,Understanding(USA),5,SSSSD
