race_id,horse_name,horse_id,position,finish_time,jockey,trainer,weight,odds,horse_weight,age,sex,passing_positions,margin
2005_中山_中山金杯,クラフトワーク,クラフトワーク,1,1:59.0,横山典弘,後藤由之,57.0kg,1.0,474Kg(0),5,Male,,
2005_中山_中山金杯,マイネヌーヴェル,マイネヌーヴェル,2,1:59.2,Ｄ．ボニヤ,稲葉隆一,53.0kg,6.0,506Kg(+10),5,Female,,1 lengths
2005_中山_中山金杯,キーボランチ,キーボランチ,3,1:59.2,小野次郎,宮徹,53.0kg,8.0,480Kg(-2),6,Male,,Neck
2005_中山_中山金杯,エイシンチャンプ,0000634849,4,1:59.3,古川吉洋,瀬戸口勉,57.0kg,4.0,506Kg(+2),5,Male,,Neck
2005_中山_中山金杯,アサカディフィート,0000323729,5,1:59.4,中舘英二,鶴留明雄,57.0kg,5.0,518Kg(0),7,せん,,1/2 lengths
2005_中山_中山金杯,トレジャー,トレジャー,6,1:59.6,北村宏司,藤沢和雄,54.0kg,13.0,514Kg(+4),7,Male,,1 lengths
2005_中山_中山金杯,エルカミーノ,0000082050,7,1:59.6,石橋脩,清水利章,53.0kg,10.0,500Kg(+8),7,Male,,Nose
2005_中山_中山金杯,アルスブランカ,0000612385,8,1:59.6,江田照男,河野通文,53.0kg,9.0,494Kg(+8),6,Male,,Nose
2005_中山_中山金杯,メジロマントル,メジロマントル,9,1:59.6,吉田豊,大久保洋吉,56.0kg,3.0,486Kg(+10),8,Male,,Neck
2005_中山_中山金杯,シャーディーナイス,シャーディーナイス,10,1:59.7,勝浦正樹,谷原義明,53.0kg,14.0,538Kg(+12),6,Male,,Neck
2005_中山_中山金杯,ウインブレイズ,0000318033,11,2:00.0,木幡初広,宗像義忠,58.0kg,7.0,550Kg(+14),8,Male,,2 lengths
2005_中山_中山金杯,カナハラドラゴン,0000326291,12,2:00.1,後藤浩輝,山田要一,56.5kg,2.0,488Kg(+8),7,Male,,1/2 lengths
2005_中山_中山金杯,ソウゴン,ソウゴン,13,2:00.3,石神深一,成宮明光,52.0kg,12.0,530Kg(+8),6,Male,,1/4 lengths
2005_中山_中山金杯,ストロングブラッド,ストロングブラッド,14,2:00.4,柴田善臣,増沢末夫,56.0kg,11.0,502Kg(+2),6,Male,,3/4 lengths
2005_中山_中山金杯,ビッグウルフ,ビッグウルフ,15,2:01.0,岡部幸雄,中尾正,56.0kg,15.0,436Kg(-12),5,Male,,1/2 lengths
2005_京都_京都金杯,ハットトリック,ハットトリック,1,1:34.0,武豊,角居勝彦,54.0kg,1.0,490Kg(-6),4,Male,,
2005_京都_京都金杯,アルビレオ,0000028130,2,1:34.0,松永幹夫,白井寿昭,53.0kg,7.0,482Kg(0),5,Male,,Neck
2005_京都_京都金杯,アズマサンダース,0000723210,3,1:34.1,四位洋文,藤岡健一,53.0kg,6.0,476Kg(+4),4,Female,,Neck
2005_京都_京都金杯,キネティクス,キネティクス,4,1:34.1,池添謙一,新川恵,55.0kg,3.0,462Kg(+10),6,Male,,Nose
2005_京都_京都金杯,メイショウオスカル,メイショウオスカル,5,1:34.4,藤田伸二,安達昭夫,52.0kg,10.0,476Kg(0),4,Female,,2 lengths
2005_京都_京都金杯,マルカキセキ,マルカキセキ,6,1:34.4,小牧太,瀬戸口勉,53.0kg,9.0,520Kg(+2),4,Male,,Neck
2005_京都_京都金杯,タカラシャーディー,タカラシャーディー,7,1:34.5,佐藤哲三,佐々木晶三,55.0kg,5.0,478Kg(-2),5,Male,,Neck
2005_京都_京都金杯,イシノミューズ,0000329719,8,1:34.5,秋山真一郎,領家政蔵,53.0kg,11.0,450Kg(+14),7,Female,,Neck
2005_京都_京都金杯,ダイワエルシエーロ,ダイワエルシエーロ,9,1:34.6,福永祐一,松田国英,55.5kg,2.0,444Kg(+6),4,Female,,Neck
2005_京都_京都金杯,ナイトフライヤー,ナイトフライヤー,10,1:34.6,柴原央明,田中章博,54.0kg,8.0,498Kg(+4),6,Male,,Neck
2005_京都_京都金杯,ナイストップボーイ,ナイストップボーイ,11,1:34.7,小林徹弥,目野哲也,51.0kg,13.0,500Kg(-6),4,Male,,Neck
2005_京都_京都金杯,オースミコスモ,0000612667,12,1:34.7,安藤勝己,中尾正,55.5kg,4.0,430Kg(0),6,Female,,Neck
2005_京都_京都金杯,シゲルドントイケ,シゲルドントイケ,13,1:35.1,赤木高太郎,坪憲章,53.0kg,12.0,484Kg(+4),4,Male,,1/2 lengths
2005_京都_京都金杯,イケハヤブサ,0000330256,14,1:35.4,幸英明,鮫島一歩,52.0kg,16.0,446Kg(0),7,Male,,3/4 lengths
2005_京都_京都金杯,ナムラスピリット,ナムラスピリット,15,1:35.5,長谷川浩大,橋本寿正,52.0kg,15.0,470Kg(+2),8,Male,,1/2 lengths
2005_京都_京都金杯,ゲイリーファントム,ゲイリーファントム,16,1:36.7,川島信二,鶴留明雄,53.0kg,14.0,540Kg(-10),6,Male,,7 lengths
2005_中山_ガーネットＳ,メイショウボーラー,メイショウボーラー,1,1:10.2,福永祐一,白井寿昭,56.0kg,3.0,494Kg(+2),4,Male,,
2005_中山_ガーネットＳ,エンゲルグレーセ,0000315658,2,1:10.7,田中勝春,新関力,55.0kg,16.0,488Kg(+2),8,Male,,3 lengths
2005_中山_ガーネットＳ,サミーミラクル,サミーミラクル,3,1:10.8,武豊,増本豊,55.0kg,1.0,516Kg(0),5,Male,,Neck
2005_中山_ガーネットＳ,ヒカリジルコニア,ヒカリジルコニア,4,1:10.9,柴田善臣,清水久雄,57.0kg,4.0,540Kg(+1),6,Male,,1/2 lengths
2005_中山_ガーネットＳ,プリンセスアスカ,プリンセスアスカ,5,1:11.2,田辺裕信,久保田貴士,50.0kg,10.0,448Kg(0),6,Female,,2 lengths
2005_中山_ガーネットＳ,アグネスウイング,0000242409,6,1:11.3,中舘英二,白井寿昭,57.5kg,2.0,480Kg(+4),5,Male,,1/2 lengths
2005_中山_ガーネットＳ,アタゴタイショウ,0000714290,7,1:11.4,横山典弘,萩原清,56.0kg,5.0,500Kg(+8),5,Male,,Neck
2005_中山_ガーネットＳ,デュアルストーリー,デュアルストーリー,8,1:11.5,松岡正海,手塚貴久,51.0kg,13.0,456Kg(0),5,Female,,1/2 lengths
2005_中山_ガーネットＳ,サイモンセッズ,サイモンセッズ,9,1:11.6,蛯名正義,国枝栄,54.0kg,7.0,532Kg(+14),6,Male,,1/2 lengths
2005_中山_ガーネットＳ,シャドウスケイプ,シャドウスケイプ,10,1:11.7,江田照男,森秀行,57.0kg,9.0,442Kg(0),6,Male,,1/2 lengths
2005_中山_ガーネットＳ,クリスタルヴィオレ,クリスタルヴィオレ,11,1:11.7,郷原洋司,堀井雅広,50.0kg,15.0,484Kg(-3),4,Female,,Nose
2005_中山_ガーネットＳ,タイセイブレーヴ,タイセイブレーヴ,12,1:11.7,川島信二,安藤正敏,52.0kg,14.0,496Kg(+2),4,Male,,Neck
2005_中山_ガーネットＳ,ナムラビッグタイム,ナムラビッグタイム,13,1:11.8,藤田伸二,田村康仁,54.0kg,6.0,506Kg(+6),4,Male,,Neck
2005_中山_ガーネットＳ,ファントムマスク,ファントムマスク,14,1:11.8,後藤浩輝,森秀行,53.0kg,11.0,490Kg(-2),4,Male,,Head
2005_中山_ガーネットＳ,ブイヤマト,ブイヤマト,15,1:11.8,勝浦正樹,池添兼雄,53.0kg,12.0,478Kg(+20),6,Male,,Neck
2005_中山_ガーネットＳ,マルターズヒート,マルターズヒート,16,1:11.9,吉田豊,坂口正則,51.0kg,8.0,488Kg(+8),4,Female,,1/2 lengths
2005_京都_シンザン記念,ペールギュント,ペールギュント,1,1:35.7,武豊,橋口弘次郎,57.0kg,1.0,514Kg(+4),3,Male,,
2005_京都_シンザン記念,マイネルハーティー,マイネルハーティー,2,1:35.7,安藤勝己,中村均,56.0kg,3.0,468Kg(0),3,Male,,Nose
2005_京都_シンザン記念,マルカジーク,マルカジーク,3,1:36.1,福永祐一,北橋修二,56.0kg,4.0,468Kg(+8),3,Male,,1/2 lengths
2005_京都_シンザン記念,ディープサマー,ディープサマー,4,1:36.1,藤田伸二,山内研二,56.0kg,2.0,474Kg(+2),3,Male,,Neck
2005_京都_シンザン記念,ライラプス,ライラプス,5,1:36.2,松永幹夫,松田国英,54.0kg,5.0,440Kg(+4),3,Female,,1/2 lengths
2005_京都_シンザン記念,タガノデンジャラス,タガノデンジャラス,6,1:36.5,安田康彦,松田博資,56.0kg,6.0,444Kg(-4),3,Male,,2 lengths
2005_京都_シンザン記念,イヤダイヤダ,0000732984,7,1:36.5,小牧太,音無秀孝,56.0kg,11.0,464Kg(-4),3,Male,,Nose
2005_京都_シンザン記念,ヒカルバローロ,ヒカルバローロ,8,1:36.5,四位洋文,高市圭二,56.0kg,8.0,508Kg(+4),3,Male,,Nose
2005_京都_シンザン記念,ビッグタイガー,ビッグタイガー,9,1:36.7,本田優,中尾正,56.0kg,10.0,460Kg(-6),3,Male,,1 lengths
2005_京都_シンザン記念,シルクネクサス,シルクネクサス,10,1:37.2,幸英明,岡田稲男,56.0kg,7.0,476Kg(-4),3,Male,,3 lengths
2005_京都_シンザン記念,エレスサール,0000738110,11,1:37.2,熊沢重文,池江泰郎,56.0kg,9.0,480Kg(-10),3,Male,,Nose
2005_京都_シンザン記念,ドリームゲッター,ドリームゲッター,12,1:38.6,和田竜二,大橋勇樹,56.0kg,12.0,470Kg(+2),3,Male,,9 lengths
2005_京都_シンザン記念,デポジットブック,デポジットブック,13,1:38.7,池添謙一,松元茂樹,56.0kg,13.0,446Kg(-8),3,Male,,3/4 lengths
2005_中山_京成杯,アドマイヤジャパン,0000737164,1,2:07.4,横山典弘,松田博資,56.0kg,1.0,486Kg(+4),3,Male,,
2005_中山_京成杯,シックスセンス,シックスセンス,2,2:07.6,四位洋文,長浜博之,56.0kg,4.0,458Kg(+8),3,Male,,1/4 lengths
2005_中山_京成杯,コスモオースティン,コスモオースティン,3,2:07.8,勝浦正樹,高橋裕,56.0kg,6.0,472Kg(0),3,Male,,1/4 lengths
2005_中山_京成杯,イブキレボルシオン,0000738866,4,2:07.9,柴田善臣,橋口弘次郎,56.0kg,5.0,516Kg(+2),3,Male,,3/4 lengths
2005_中山_京成杯,ジョウノビクトリア,ジョウノビクトリア,5,2:07.9,内田博幸,森秀行,54.0kg,10.0,476Kg(+4),3,Female,,Head
2005_中山_京成杯,カネサマンゲツ,カネサマンゲツ,6,2:08.1,江田照男,久保田貴士,56.0kg,7.0,480Kg(-2),3,Male,,1/4 lengths
2005_中山_京成杯,モエレアドミラル,モエレアドミラル,7,2:08.2,Ｄ．ボニヤ,小島太,56.0kg,2.0,468Kg(-8),3,Male,,Neck
2005_中山_京成杯,ウインクルセイド,0000736633,8,2:08.5,Ｄ．バルジュー,鈴木伸尋,56.0kg,3.0,478Kg(+2),3,Male,,2 lengths
2005_中山_京成杯,ウォーターダッシュ,0000738970,9,2:08.8,中舘英二,鹿戸幸治,56.0kg,8.0,510Kg(+4),3,Male,,3/4 lengths
2005_中山_京成杯,ニシノアレックス,ニシノアレックス,10,2:10.4,蛯名正義,手塚貴久,56.0kg,9.0,518Kg(+4),3,Male,,10 lengths
2005_中山_京成杯,ニューヨークカフェ,ニューヨークカフェ,99,,岡部幸雄,小島太,56.0kg,,,3,Male,,
